,plot,subplot,census,f_type,avghgt,tbiomc,simpdv,avghgtnorm,tbiomcnorm
166,BSouth,18,3,Logged,11.6875,559.4654606259305,0.8571428571428572,0.22034350330701935,0.015377583057829328
167,BSouth,18,4,Logged,11.433333333333335,394.02057086010177,0.8,0.21058246212929382,0.010714251697995903
168,BSouth,19,1,Logged,12.585714285714285,495.7551619882314,0.9523809523809523,0.2548386113566399,0.01358180541850753
169,BSouth,19,2,Logged,12.633333333333333,685.5865765238718,0.9722222222222222,0.25666737785363763,0.018932510355593055
170,BSouth,19,3,Logged,14.207692307692309,1542.2118438210491,0.9871794871794872,0.3171292117313026,0.04307787669641366
171,BSouth,19,4,Logged,14.69090909090909,1563.461442725758,1.0,0.3356867156739141,0.04367683095300308
172,BSouth,20,1,Logged,9.3,437.2182280143368,1.0,0.12865372306379347,0.011931847415601946
173,BSouth,20,2,Logged,9.044444444444444,536.0614068467083,1.0,0.1188393428632387,0.014717902011830547
174,BSouth,20,3,Logged,11.09,964.5842802558268,1.0,0.19739705568593977,0.02679651112936288
175,BSouth,20,4,Logged,11.42,974.7540200938123,1.0,0.21007040751013437,0.027083161667647564
176,BSouth,21,1,Logged,12.511111111111113,1204.493070792685,0.9722222222222222,0.25197354384467674,0.03355872776835219
177,BSouth,21,2,Logged,13.233333333333334,1421.867890772603,0.9722222222222222,0.27970983571580965,0.03968578806187518
178,BSouth,21,3,Logged,15.1125,2079.7973033692456,0.9642857142857143,0.35187753360358437,0.05823059090626261
179,BSouth,21,4,Logged,15.9,2606.0806288319873,0.9642857142857143,0.382120759547685,0.0730647362174992
180,BSouth,22,1,Logged,10.233333333333333,462.6478175462302,0.9166666666666666,0.1644975464049498,0.012648621457396881
181,BSouth,22,2,Logged,10.177777777777779,548.0900712594906,0.9166666666666666,0.1623639854917858,0.01505694934083802
182,BSouth,22,3,Logged,12.071428571428571,806.2704154694082,0.9523809523809523,0.2350879331890639,0.022334179222950515
183,BSouth,22,4,Logged,12.285714285714286,902.05081664256,0.9523809523809523,0.24331738242555392,0.025033904485425425
