Forest type,Plot,Core,Data type,Date,Date of previous collection,Days between collections,"CoarseRoots, Mg C ha-1 year-1","FineRoots, Mg C ha-1 year-1",Remarsk
Logged,B South,16,NPP,17/02/2012,19/09/2011,151,0.017683882565766,1.8014399343338,
Logged,Tower,1,NPP,19/02/2012,28/10/2011,114,0.008841941282883,1.44070396463315,
Logged,Tower,2,NPP,19/02/2012,28/10/2011,114,0,0.811224053455873,
Logged,Tower,3,NPP,19/02/2012,28/10/2011,114,0.026525823848649,1.19507277488929,
Logged,Tower,4,NPP,19/02/2012,28/10/2011,114,0.044209706414415,1.86961600576348,
Logged,Tower,5,NPP,19/02/2012,28/10/2011,114,0.088419412828831,0.758832452488453,
Logged,Tower,6,NPP,19/02/2012,28/10/2011,114,0,1.0326807489429,
Logged,Tower,7,NPP,19/02/2012,28/10/2011,114,0.066314559621623,0.414254554965425,
Logged,Tower,8,NPP,19/02/2012,28/10/2011,114,0.048630677055857,1.33108650355195,
Logged,Tower,9,NPP,19/02/2012,,,,,Not collected
Logged,Tower,10,NPP,19/02/2012,28/10/2011,114,0.132629119243246,1.03061658091212,
Logged,Tower,11,NPP,19/02/2012,28/10/2011,114,0,0.567422687494847,
Logged,Tower,12,NPP,19/02/2012,28/10/2011,114,0.017683882565766,1.1837847139367,
Logged,Tower,13,NPP,19/02/2012,28/10/2011,114,0,0.559933908608887,
Logged,Tower,14,NPP,19/02/2012,28/10/2011,114,0.035367765131532,1.02105175602976,
Logged,Tower,15,NPP,19/02/2012,28/10/2011,114,0,0.217257098279976,
Logged,Tower,16,NPP,19/02/2012,28/10/2011,114,0.026525823848649,0.525503436672115,
Logged,B North,1,NPP,20/02/2012,11/10/2011,132,0.092840383470272,1.03088610657909,
Logged,B North,2,NPP,20/02/2012,11/10/2011,132,0,0.418599278132865,
Logged,B North,3,NPP,20/02/2012,11/10/2011,132,0,0.941771741598333,
Logged,B North,4,NPP,20/02/2012,11/10/2011,132,0.013262911924325,0.375363741359062,
Logged,B North,5,NPP,20/02/2012,11/10/2011,132,0.274100179769375,1.99361280692707,
Logged,B North,6,NPP,20/02/2012,11/10/2011,132,0.044209706414415,2.98939487069994,
Logged,B North,7,NPP,20/02/2012,11/10/2011,132,0,0.650125758780938,
Logged,B North,8,NPP,20/02/2012,11/10/2011,132,0.008841941282883,0.578607932247657,
Logged,B North,9,NPP,20/02/2012,11/10/2011,132,0,1.83522835183303,
Logged,B North,10,NPP,20/02/2012,11/10/2011,132,0.132629119243246,3.16710214622695,
Logged,B North,11,NPP,20/02/2012,11/10/2011,132,0.035367765131532,4.30948272001615,
Logged,B North,12,NPP,20/02/2012,11/10/2011,132,0,0.561516971763267,
Logged,B North,13,NPP,20/02/2012,11/10/2011,132,0.044209706414415,0.784597500595724,
Logged,B North,14,NPP,20/02/2012,11/10/2011,132,0,0.933624375281145,
Logged,B North,15,NPP,20/02/2012,11/10/2011,132,0.110524266036038,0.598543799274154,
Logged,B North,16,NPP,20/02/2012,11/10/2011,132,0.008841941282883,0.373026970161099,
Logged,E,1,NPP,03/03/2012,27/10/2011,128,0,8.2706256067284,
Logged,E,2,NPP,03/03/2012,27/10/2011,128,2.25469502713518,5.59894523086457,
Logged,E,3,NPP,03/03/2012,27/10/2011,128,0.822300539308126,6.29891388030867,
Logged,E,4,NPP,03/03/2012,27/10/2011,128,1.79491408042526,1.81808033260169,
Logged,E,5,NPP,03/03/2012,27/10/2011,128,0.026525823848649,0.353486247350851,
Logged,E,6,NPP,03/03/2012,27/10/2011,128,0.654303654933347,1.95474038190973,
Logged,E,7,NPP,03/03/2012,27/10/2011,128,0,0.544639848117615,
Logged,E,8,NPP,03/03/2012,27/10/2011,128,0.013262911924325,0.345392431339246,
Logged,E,9,NPP,03/03/2012,27/10/2011,128,0.972613541117138,3.87596301187349,
Logged,E,10,NPP,03/03/2012,27/10/2011,128,0.225469502713518,2.03406495006735,
Logged,E,11,NPP,03/03/2012,27/10/2011,128,0,0.743721832676117,
Logged,E,12,NPP,03/03/2012,27/10/2011,128,0.349256680673881,12.941866017338,
Logged,E,13,NPP,03/03/2012,27/10/2011,128,0.207785620147752,1.05983773571462,
Logged,E,14,NPP,03/03/2012,27/10/2011,128,0,2.91728192946779,
Logged,E,15,NPP,03/03/2012,27/10/2011,128,0.167996884374778,1.22677317704179,
Logged,E,16,NPP,03/03/2012,27/10/2011,128,0.260837267845051,0.429076654912876,
Logged,LF,9,NPP,05/05/2012,12/02/2012,83,0.053051647697299,1.33830470304084,
Logged,LF,10,NPP,05/05/2012,12/02/2012,83,0,0.333854465181027,
Logged,LF,11,NPP,05/05/2012,12/02/2012,83,0.260837267845051,1.84833176969344,
Logged,LF,12,NPP,05/05/2012,,,,,Not collected
Logged,LF,13,NPP,05/05/2012,12/02/2012,83,0,0.723461960125182,
Logged,LF,14,NPP,05/05/2012,12/02/2012,83,0.375782504522531,5.79652196629135,
Logged,LF,15,NPP,05/05/2012,12/02/2012,83,0,0.300836535181456,
Logged,LF,16,NPP,05/05/2012,12/02/2012,83,0,0.794656961709797,
Logged,Tower,1,NPP,07/05/2012,19/02/2012,78,0,0.34650625446144,
Logged,Tower,2,NPP,07/05/2012,19/02/2012,78,0.026525823848649,1.18925505324258,
Logged,Tower,3,NPP,07/05/2012,19/02/2012,78,0,0.791941285369317,
Logged,Tower,4,NPP,07/05/2012,19/02/2012,78,0,0.20028830063837,
Logged,Tower,5,NPP,07/05/2012,19/02/2012,78,0,0.458649337677898,
Logged,Tower,6,NPP,07/05/2012,19/02/2012,78,0,0.088386239263708,
Logged,Tower,7,NPP,07/05/2012,19/02/2012,78,0,0.171251931208016,
Logged,Tower,8,NPP,07/05/2012,19/02/2012,78,0,0.182051998054195,
Logged,Tower,9,NPP,07/05/2012,28/10/2011,192,0.026525823848649,1.24754196664766,
Logged,Tower,10,NPP,07/05/2012,19/02/2012,78,0,0.364742557045616,
Logged,Tower,11,NPP,07/05/2012,19/02/2012,78,0,0.311310776774461,
Logged,Tower,12,NPP,07/05/2012,19/02/2012,78,0,1.06480824310926,
Logged,Tower,13,NPP,07/05/2012,19/02/2012,78,0,0.752844415801183,
Logged,Tower,14,NPP,07/05/2012,19/02/2012,78,0,0.461360113041644,
Logged,Tower,15,NPP,07/05/2012,19/02/2012,78,0,0.674776203191339,
Logged,Tower,16,NPP,07/05/2012,19/02/2012,78,0.026525823848649,0.872026190793297,
Logged,B South,1,NPP,08/05/2012,17/02/2012,81,0,0.227179502603198,
Logged,B South,2,NPP,08/05/2012,17/02/2012,81,0.088419412828831,1.48703254425501,
Logged,B South,7,NPP,08/05/2012,17/02/2012,81,0,0.125272729150147,
Logged,B South,8,NPP,08/05/2012,17/02/2012,81,0,1.11360350454249,
Logged,B South,9,NPP,08/05/2012,17/02/2012,81,0,0.388118877718273,
Logged,B South,10,NPP,08/05/2012,17/02/2012,81,0.022104853207208,0.828090865870247,
Logged,B South,15,NPP,08/05/2012,17/02/2012,81,0,3.30913940142678,
Logged,B South,16,NPP,08/05/2012,17/02/2012,81,0.026525823848649,4.61906789151097,
Old-growth,Seraya,1,NPP,14/05/2012,20/01/2012,115,0,1.15146814201617,
Old-growth,Seraya,2,NPP,14/05/2012,20/01/2012,115,0,0.356145898081838,
Old-growth,Seraya,3,NPP,14/05/2012,20/01/2012,115,0,1.19445469776772,
Old-growth,Seraya,4,NPP,14/05/2012,20/01/2012,115,0,0.362144036902784,
Old-growth,Seraya,5,NPP,14/05/2012,20/01/2012,115,0,1.10952386090334,
Old-growth,Seraya,6,NPP,14/05/2012,20/01/2012,115,0,0.629977975589094,
Old-growth,Seraya,7,NPP,14/05/2012,20/01/2012,115,0,2.06839481506599,
