Forest type,Plot,Collection date,Date of the previous collection,Number of days between collections,Trap,"Trap size, m2",Leaves,Twigs,Fruit,Flower,Seed,Miscellaneous,Remarks,"Leaves, Mg C ha-1 year-1","Twigs, Mg C ha-1 year-1","Fruit, Mg C ha-1 year-1","Flower, Mg C ha-1 year-1","Seed, Mg C ha-1 year-1","Miscellaneous, Mg C ha-1 year-1","Reproductive, total, Mg C ha-1 year-1","Total, Mg C ha-1 year-1"
Logged,Tower,14/12/2011,27/11/2011,17,12,0.25,13.86,0.15,0,0,0,0,,5.95164705882353,0.064411764705883,0,0,0,0,0,6.01605882352941
Logged,Tower,14/12/2011,27/11/2011,17,13,0.25,14.52,1.05,0.289999999999999,0.210000000000001,0,0,,6.23505882352941,0.450882352941177,0.124529411764706,0.090176470588236,0,0,0.214705882352941,6.90064705882353
Logged,Tower,14/12/2011,27/11/2011,17,14,0.25,7.68,0.4,0,0,0,1.12,,3.29788235294118,0.171764705882353,0,0,0,0.480941176470588,0,3.95058823529412
Logged,Tower,14/12/2011,27/11/2011,17,15,0.25,15,0.31,0,0.15,0,0,,6.44117647058824,0.133117647058824,0,0.064411764705883,0,0,0.064411764705883,6.63870588235294
Logged,Tower,14/12/2011,27/11/2011,17,16,0.25,13.67,0,0,0,0,0.1,,5.87005882352941,0,0,0,0,0.042941176470588,0,5.913
Logged,Tower,14/12/2011,27/11/2011,17,17,0.25,16.83,1.68,0,0,0,0,,7.227,0.721411764705882,0,0,0,0,0,7.94841176470588
Logged,Tower,14/12/2011,27/11/2011,17,18,0.25,17.29,1.93,0,0.19,0,0,,7.42452941176471,0.828764705882353,0,0.081588235294118,0,0,0.081588235294118,8.33488235294118
Logged,Tower,14/12/2011,27/11/2011,17,19,0.25,6.25,0,0,0,0,8.7,,2.68382352941176,0,0,0,0,3.73588235294118,0,6.41970588235294
Logged,Tower,14/12/2011,27/11/2011,17,20,0.25,13.17,0.279999999999999,0,0.109999999999999,0,0,,5.65535294117647,0.120235294117647,0,0.047235294117647,0,0,0.047235294117647,5.82282352941177
Logged,Tower,14/12/2011,27/11/2011,17,21,0.25,18.56,0.380000000000001,0,0.359999999999999,0,0.26,,7.96988235294118,0.163176470588236,0,0.154588235294117,0,0.111647058823529,0.154588235294117,8.39929411764706
Logged,Tower,14/12/2011,27/11/2011,17,22,0.25,25.45,1.38,0,0,0,0,,10.9285294117647,0.592588235294118,0,0,0,0,0,11.5211176470588
Logged,Tower,14/12/2011,27/11/2011,17,23,0.25,13.967,0.15,0,0,0,0,,5.99759411764706,0.064411764705883,0,0,0,0,0,6.06200588235294
Logged,Tower,14/12/2011,27/11/2011,17,24,0.25,11.59,0.300000000000001,0,0.24,0,0,,4.97688235294118,0.128823529411765,0,0.103058823529412,0,0,0.103058823529412,5.20876470588235
Logged,Tower,14/12/2011,27/11/2011,17,25,0.25,10.42,0,0,0,0,0,,4.4744705882353,0,0,0,0,0,0,4.4744705882353
Logged,B North,15/12/2011,26/11/2011,19,1,0.25,18,0.26,0,0,0,0.890000000000001,,6.91578947368421,0.099894736842105,0,0,0,0.341947368421053,0,7.35763157894737
Logged,B North,15/12/2011,26/11/2011,19,2,0.25,0.31,0.34,0,0.07,0,0,,0.119105263157895,0.130631578947368,0,0.026894736842105,0,0,0.026894736842105,0.276631578947369
Logged,B North,15/12/2011,26/11/2011,19,3,0.25,21.2,0,0,0.560000000000001,0,0,,8.14526315789474,0,0,0.215157894736842,0,0,0.215157894736842,8.36042105263158
Logged,B North,15/12/2011,26/11/2011,19,4,0.25,21.09,0,0,0,0,0.779999999999999,,8.103,0,0,0,0,0.299684210526315,0,8.40268421052632
Logged,B North,15/12/2011,26/11/2011,19,5,0.25,7.13,0.18,0.32,0,0,0.359999999999999,,2.73942105263158,0.069157894736842,0.122947368421053,0,0,0.138315789473684,0.122947368421053,3.06984210526316
Logged,B North,15/12/2011,26/11/2011,19,6,0.25,5.88,0,0.18,0,0,0,,2.25915789473684,0,0.069157894736842,0,0,0,0.069157894736842,2.32831578947368
Logged,B North,15/12/2011,26/11/2011,19,7,0.25,10.69,0.779999999999999,0,0,0,0,,4.10721052631579,0.299684210526315,0,0,0,0,0,4.40689473684211
Logged,B North,15/12/2011,26/11/2011,19,8,0.25,9.7,0,0,0,0,0,,3.72684210526316,0,0,0,0,0,0,3.72684210526316
